train_loss,train_elbo_loss,epoch,step,valid_loss,valid_elbo_loss
0.30268409848213196,0.30268409848213196,0,127,,
0.04908826947212219,0.04908826947212219,1,255,,
0.03478633612394333,0.03478633612394333,2,383,,
0.026011629030108452,0.026011629030108452,3,511,,
0.023553868755698204,0.023553868755698204,4,639,,
0.020735744386911392,0.020735744386911392,5,767,,
0.017723802477121353,0.017723802477121353,6,895,,
0.01648748852312565,0.01648748852312565,7,1023,,
0.01575423590838909,0.01575423590838909,8,1151,,
,,9,1279,0.017888126894831657,0.017888126894831657
0.015883827582001686,0.015883827582001686,9,1279,,
0.0147468950599432,0.0147468950599432,10,1407,,
0.014733950607478619,0.014733950607478619,11,1535,,
0.013362268917262554,0.013362268917262554,12,1663,,
0.01270569209009409,0.01270569209009409,13,1791,,
0.01224247831851244,0.01224247831851244,14,1919,,
0.012472043745219707,0.012472043745219707,15,2047,,
0.011217604391276836,0.011217604391276836,16,2175,,
0.011521109379827976,0.011521109379827976,17,2303,,
0.011656126007437706,0.011656126007437706,18,2431,,
,,19,2559,0.005687924101948738,0.005687924101948738
0.010928199626505375,0.010928199626505375,19,2559,,
0.010716145858168602,0.010716145858168602,20,2687,,
0.011700458824634552,0.011700458824634552,21,2815,,
0.00981603842228651,0.00981603842228651,22,2943,,
0.010255806148052216,0.010255806148052216,23,3071,,
0.009279909543693066,0.009279909543693066,24,3199,,
0.009862210601568222,0.009862210601568222,25,3327,,
0.00992307998239994,0.00992307998239994,26,3455,,
0.0093825813382864,0.0093825813382864,27,3583,,
0.009742392227053642,0.009742392227053642,28,3711,,
,,29,3839,0.004625827074050903,0.004625827074050903
0.009644710458815098,0.009644710458815098,29,3839,,
0.010168589651584625,0.010168589651584625,30,3967,,
0.009346428327262402,0.009346428327262402,31,4095,,
0.009290134534239769,0.009290134534239769,32,4223,,
0.009006394073367119,0.009006394073367119,33,4351,,
0.009382156655192375,0.009382156655192375,34,4479,,
0.009303498081862926,0.009303498081862926,35,4607,,
0.008457893505692482,0.008457893505692482,36,4735,,
0.008678382262587547,0.008678382262587547,37,4863,,
0.008282112888991833,0.008282112888991833,38,4991,,
,,39,5119,0.03554943576455116,0.03554943576455116
0.009701560251414776,0.009701560251414776,39,5119,,
0.008271216414868832,0.008271216414868832,40,5247,,
0.009636077098548412,0.009636077098548412,41,5375,,
0.008943448774516582,0.008943448774516582,42,5503,,
0.00825632642954588,0.00825632642954588,43,5631,,
0.007956349290907383,0.007956349290907383,44,5759,,
0.008251374587416649,0.008251374587416649,45,5887,,
0.00799840223044157,0.00799840223044157,46,6015,,
0.007890651933848858,0.007890651933848858,47,6143,,
0.008476962335407734,0.008476962335407734,48,6271,,
,,49,6399,0.008318508043885231,0.008318508043885231
0.008249104022979736,0.008249104022979736,49,6399,,
0.007847392931580544,0.007847392931580544,50,6527,,
0.008035608567297459,0.008035608567297459,51,6655,,
0.008093631826341152,0.008093631826341152,52,6783,,
0.007839742116630077,0.007839742116630077,53,6911,,
0.007646367885172367,0.007646367885172367,54,7039,,
0.007755236234515905,0.007755236234515905,55,7167,,
0.007048082537949085,0.007048082537949085,56,7295,,
0.007669369224458933,0.007669369224458933,57,7423,,
0.008303859271109104,0.008303859271109104,58,7551,,
,,59,7679,0.012355109676718712,0.012355109676718712
0.007525001652538776,0.007525001652538776,59,7679,,
0.008241920731961727,0.008241920731961727,60,7807,,
0.007349642924964428,0.007349642924964428,61,7935,,
0.007523535750806332,0.007523535750806332,62,8063,,
0.007738684769719839,0.007738684769719839,63,8191,,
0.007471426390111446,0.007471426390111446,64,8319,,
0.007205813657492399,0.007205813657492399,65,8447,,
0.0071087186224758625,0.0071087186224758625,66,8575,,
0.008306480944156647,0.008306480944156647,67,8703,,
0.007114416919648647,0.007114416919648647,68,8831,,
,,69,8959,0.0024955261033028364,0.0024955261033028364
0.008005425333976746,0.008005425333976746,69,8959,,
0.007867456413805485,0.007867456413805485,70,9087,,
0.007159436121582985,0.007159436121582985,71,9215,,
0.007445173803716898,0.007445173803716898,72,9343,,
0.007534951437264681,0.007534951437264681,73,9471,,
0.006894242018461227,0.006894242018461227,74,9599,,
0.007757294923067093,0.007757294923067093,75,9727,,
0.007244822569191456,0.007244822569191456,76,9855,,
0.007330534979701042,0.007330534979701042,77,9983,,
0.007353934925049543,0.007353934925049543,78,10111,,
,,79,10239,0.0058220126666128635,0.0058220126666128635
0.007212389726191759,0.007212389726191759,79,10239,,
0.006828312762081623,0.006828312762081623,80,10367,,
0.0072029088623821735,0.0072029088623821735,81,10495,,
0.00747566856443882,0.00747566856443882,82,10623,,
0.007091878913342953,0.007091878913342953,83,10751,,
0.0074099767953157425,0.0074099767953157425,84,10879,,
0.0068613747134804726,0.0068613747134804726,85,11007,,
0.0070912837982177734,0.0070912837982177734,86,11135,,
0.007065862882882357,0.007065862882882357,87,11263,,
0.007051442749798298,0.007051442749798298,88,11391,,
,,89,11519,0.006421683356165886,0.006421683356165886
0.006518031470477581,0.006518031470477581,89,11519,,
0.007260994054377079,0.007260994054377079,90,11647,,
0.00674098264425993,0.00674098264425993,91,11775,,
0.006902065593749285,0.006902065593749285,92,11903,,
0.007128377910703421,0.007128377910703421,93,12031,,
0.007337633986026049,0.007337633986026049,94,12159,,
0.007093003951013088,0.007093003951013088,95,12287,,
0.007009814493358135,0.007009814493358135,96,12415,,
0.006694890558719635,0.006694890558719635,97,12543,,
0.0067825112491846085,0.0067825112491846085,98,12671,,
,,99,12799,0.0019910477567464113,0.0019910477567464113
0.0075538866221904755,0.0075538866221904755,99,12799,,
